Search_method Problem Max_evals Num_restarts Run Score
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 0 1440
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 1 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 2 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 3 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 4 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 5 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 6 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 7 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 8 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 9 1360
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 10 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 11 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 12 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 13 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 14 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 15 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 16 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 17 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 18 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 19 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 20 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 21 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 22 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 23 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 24 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 25 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 26 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 27 1400
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 28 1320
hcrr_penalized_score knapPI_11_20_1000_4 10000 1 29 1320
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 0 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 1 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 2 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 3 881
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 4 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 5 872
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 6 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 7 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 8 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 9 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 10 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 11 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 12 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 13 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 14 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 15 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 16 881
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 17 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 18 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 19 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 20 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 21 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 22 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 23 907
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 24 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 25 890
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 26 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 27 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 28 889
hcrr_penalized_score knapPI_13_20_1000_4 10000 1 29 907
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 0 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 1 2557
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 2 2557
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 3 2597
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 4 2593
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 5 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 6 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 7 2651
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 8 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 9 2538
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 10 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 11 2893
hcrr_penalized_score knapPI_16_20_1000_4 10000 1 12 2893
